location,quantity,paper_text,paper_value,recomputed_value,delta,verdict,note
"static gate (LODO, 76 groups)",max relative increase (%),,,29.156346398279943,,paper_correct,
"static gate (LODO, 76 groups)",worst group #1,,,0.12240529459957616,,paper_correct,ETTh2 / DLinear / H=720：bf 0.4198 -> 0.5422
"static gate (LODO, 76 groups)",worst group #2,,,0.05616570703670648,,paper_correct,ETTh2 / DLinear / H=336：bf 0.4174 -> 0.4735
"static gate (LODO, 76 groups)",worst group #3,,,0.040309491760890104,,paper_correct,ETTm2 / DLinear / H=720：bf 0.4103 -> 0.4506
"online selector (legal H delay, 123 groups)",groups,,,123.0,,paper_correct,分母
"online selector (legal H delay, 123 groups)",groups with higher absolute MSE than bf,,,79.0,,paper_correct,79/123 = 64.2%
"online selector (legal H delay, 123 groups)",share of groups worse in absolute MSE (%),,,64.22764227642277,,paper_correct,
"online selector (legal H delay, 123 groups)",median absolute MSE increase among worse groups,,,0.004245197774492282,,paper_correct,绝对 MSE 单位，不是百分比
"online selector (legal H delay, 123 groups)",P90 absolute MSE increase among worse groups,,,0.01931352721612164,,paper_correct,
"online selector (legal H delay, 123 groups)",max absolute MSE increase,,,0.07907103553238548,,paper_correct,最差组 DLinear__ETTh2__h720__s2021
"online selector (legal H delay, 123 groups)",median relative increase among worse groups (%),,,1.252990104888503,,paper_correct,同一批组的相对口径
"online selector (legal H delay, 123 groups)",max relative increase (%),,,25.71332937637976,,paper_correct,
"online selector (legal H delay, 123 groups)",worst group #1,,,0.07907103553238548,,paper_correct,ETTh2 / DLinear / H=720：bf 0.5223 -> 0.6013
"online selector (legal H delay, 123 groups)",worst group #2,,,0.0536614061634873,,paper_correct,Exchange / TimesNet / H=336：bf 0.3746 -> 0.4282
"online selector (legal H delay, 123 groups)",worst group #3,,,0.051283880848058905,,paper_correct,Exchange / DLinear / H=336：bf 0.3375 -> 0.3888
online selector (all 127 groups),groups,,,127.0,,paper_correct,分母
online selector (all 127 groups),groups with higher absolute MSE than bf,,,80.0,,paper_correct,80/127 = 63.0%
online selector (all 127 groups),share of groups worse in absolute MSE (%),,,62.99212598425197,,paper_correct,
online selector (all 127 groups),median absolute MSE increase among worse groups,,,0.004247980817264296,,paper_correct,绝对 MSE 单位，不是百分比
online selector (all 127 groups),P90 absolute MSE increase among worse groups,,,0.018965019353547448,,paper_correct,
online selector (all 127 groups),max absolute MSE increase,,,0.07907103553238548,,paper_correct,最差组 DLinear__ETTh2__h720__s2021
online selector (all 127 groups),median relative increase among worse groups (%),,,1.2521391344934336,,paper_correct,同一批组的相对口径
online selector (all 127 groups),max relative increase (%),,,25.71332937637976,,paper_correct,
online selector (all 127 groups),worst group #1,,,0.07907103553238548,,paper_correct,ETTh2 / DLinear / H=720：bf 0.5223 -> 0.6013
online selector (all 127 groups),worst group #2,,,0.0536614061634873,,paper_correct,Exchange / TimesNet / H=336：bf 0.3746 -> 0.4282
online selector (all 127 groups),worst group #3,,,0.051283880848058905,,paper_correct,Exchange / DLinear / H=336：bf 0.3375 -> 0.3888
